Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
740,Mit jelent az ábrán látható tavi úszó jel?,"Meghatározott rendeltetésû területet (pl. vízi sportpályát, horgonyzóhelyet stb.) jelöl.",A hajózás számára teljesen tiltott zónát határoló úszó jel!,Hajóút tengelyét jelzi.,zzz-0593.jpg,2
741,"Mit jelöl tavon éjszaka az ábrán látható vörös sávos jel, rajta egy merev háromszög alakú (vörös színû) zászlóval?",A hajózás számára teljesen tiltott terület határát jelöli.,"Meghatározott rendeltetésû területet (pl. vízi sportpályát, horgonyzóhelyet stb.) jelöl.",Kikötõ behajózó csatornájának bal szélét jelöli.,teszt-0450.jpg,1
742,"Mi a jelentése a tavi úszó párnak (balról vörös-sárga úszó, jobbról zöld-sárga úszó)?","Kikötõhöz vezetõ csatorna széle, a tó felõl közelítõ hajó helyzetébõl.","Tiltott vagy korlátozottan használható part menti zónán keresztül vezetõ csatorna bejárata, a nyílt víz felõl közeledve.","Tóba torkolló hajózható csatorna széle, a csatorna felõl közelítõ hajó helyzetébõl.",xxx-0438.jpg,2
743,"Mi a jelentése a balról vörös-sárga, jobbról zöld-sárga fényvisszaverõ sávokkal ellátott tavi úszó párnak?","Kikötõhöz vezetõ csatorna széle, a tó felõl közelítõ hajó helyzetébõl.","Tiltott vagy korlátozottan használható part menti zónán keresztül vezetõ csatorna bejárata, a nyílt víz felõl közeledve.","Tóba torkolló hajózható csatorna széle, a csatorna felõl közelítõ hajó helyzetébõl.",xxx-0439.jpg,2
744,"Nagyhajók fogadására is alkalmas tavi, kétmólós kikötõ felé hajózik. Milyen jelzés észlelhetõ a jobboldali (X-el jelzett) mólószáron nappal?","Zöld-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.","Fekete-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.",xxx-0475.jpg,1
745,"Nagyhajók fogadására is alkalmas tavi, kétmólós kikötõ felé hajózik. Milyen jelzés észlelhetõ a baloldali (X-el jelzett) mólón nappal?","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop.","Fekete-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.",xxx-0476.jpg,1
746,Milyen jelzéssekkel jelölik a nagyhajók kikötésére alkalmas tavi kétmólós kikötõt éjszaka? A tó felõl nézve,"minden oldalról látható, jobbról villogó vörös, balról villogó zöld fények.",minden oldalról látható villogó fehér fények.,"minden oldalról látható, jobbról villogó zöld, balról villogó vörös fények.",,3
747,"Nagyhajók fogadására is alkalmas tavi, egymólós jobbról megközelíthetõ kikötõ (Tihany) felé hajózik. Milyen kikötõi jelzés észlelhetõ jobbról (az X-el jelzett helyen) nappal?","Zöld-fehér, 1,5 méter széles csíkozású jelzõoszlop.","Vörös-fehér, 1,5 méter széles csíkozású jelzõoszlop.","Vörös-zöld, 1,5 méter széles csíkozású jelzõoszlop.",xxx-0483.jpg,1
748,"Nagyhajók fogadására is alkalmas tavi, egymólós jobbról megközelíthetõ kikötõ (Tihany) felé hajózik. Milyen kikötõi fényjelzés észlelhetõ éjszaka jobbról (az X-el jelzet)t helyen?",Minden oldalról látható villanó vörös fény.,Minden oldalról látható villanó zöld fény.,Minden oldalról látható villanó fehér fény.,xxx-0484.jpg,2
749,"Nagyhajók fogadására alkalmas tavi, egymólós - balról megközelíthetõ - kikötõ (Balatonakali) felé hajózik. Milyen kikötõi jelzés észlelhetõ balról (az X-el jelzett helyen) nappal?","Zöld-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.","Vörös-zöld, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.",xxx-0485.jpg,2
750,"Nagyhajók fogadására alkalmas tavi, egymólós balról megközelíthetõ kikötõ (Balatonakali) felé hajózik. Milyen kikötõi fényjelzés észlelhetõ éjszaka balról (az X-el jelzett) helyen?",Minden oldalról látható villanó fehér fény.,Minden oldalról látható villanó vörös fény.,Minden oldalról látható villanó zöld fény.,xxx-0486.jpg,2
751,"Nagyhajók fogadására is alkalmas tavi, egymólós - bármilyen irányból megközelíthetõ - kikötõ (Balatonfüred) felé hajózik. Milyen kikötõi jelzés észlelhetõ az X-el jelzett helyen nappal?","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop.","Vörös-zöld, 1,5 méter széles vízszintesen csíkozott jelzõoszlop.",xxx-0487.jpg,3
752,"Nagyhajók fogadására is alkalmas tavi, egymólós bármilyen irányból megközelíthetõ kikötõ (Balatonfüred) felé hajózik. Milyen kikötõi fényjelzés észlelhetõ éjszaka az X-el jelzett helyen?",Minden oldalról látható villanó sárga fény.,Minden oldalról látható villanó fehér fény.,Minden oldalról látható villanó vörös fény.,xxx-0488.jpg,2
753,Milyen jelzéssekkel jelölik a kishajók és csónakok kikötésére alkalmas tavi kétmólós kikötõt? A tó felõl nézve,"1,0 m széles jobbról vörös-fehér csíkozású oszlop rajta vörös henger, balról zöld-fehér oszlop rajt zöld kúp, éjszaka a jelzõtesteket fehér fény világítja meg.","1,0 m széles fehér és fekete csíkozású oszlop, jobbról vörös hengerrel balról zöld kúppal, éjszaka a jelzõtesteket fehér fény világítja meg.","1,0 m széles jobbról zöld-fehér csíkozású oszlop rajta zöld kúp, balról vörös-fehér csíkozású oszlop rajta vörös henger, éjszaka a jelzõtesteket fehér fény világítja meg.",xxx-0489.jpg,3
754,Milyen jelzéssekkel jelölik a kishajók és csónakok kikötésére alkalmas tavi kétmólós kikötõt éjszaka? A tó felõl nézve,"a jobb oldali oszlopon vörös henger, a bal oldali oszlopon zöld kúp, a jelzõtesteket fehér fény világítja meg.","a jobb oldali oszlopon vörös henger villogó vörös fénnyel, a bal oldali oszlopon zöld kúp zöld villogó fénnyel.","a jobb oldali oszlopon zöld kúp, a bal oldali oszlopon vörös henger, a jelzõtesteket fehér fény világítja meg.",xxx-0490.jpg,3
755,"Kishajók és csónakok fogadására alkalmas tavi, egymólós jobbról megközelíthetõ kikötõ felé hajózik. Milyen kikötõi jelzés észlelhetõ jobbról (az X-el jelzett helyen) nappal?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös hengerrel.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös-zöld vízszintes csíkozású gömbbel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén zöld kúppal.",xxx-0495.jpg,3
756,"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós jobbról megközelíthetõ kikötõ felé hajózik. Milyen kikötõi jelzés észlelhetõ éjszaka jobbról (az X-el jelzett) helyen?",Fehér fénnyel megvilágított vörös-zöld vízszintes csíkozású gömb.,Fehér fénnyel megvilágított zöld kúp.,Fehér fénnyel megvilágított vörös henger.,xxx-0496.jpg,2
757,"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós balról megközelíthetõ kikötõ felé hajózik. Milyen kikötõi jelzés észlelhetõ balról (az X-el jelzett helyen) nappal?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös hengerrel.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös-zöld vízszintes csíkozású gömbbel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén zöld kúppal.",xxx-0497.jpg,1
758,"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós balról megközelíthetõ kikötõ felé hajózik. Milyen kikötõi jelzés észlelhetõ éjszaka balról (az X-el jelzett) helyen?",Fehér fénnyel megvilágított zöld kúp.,Fehér fénnyel megvilágított vörös-zöld vízszintes csíkozású gömb.,Fehér fénnyel megvilágított vörös henger.,xxx-0498.jpg,3
759,"Kishajók (és csónakok) fogadására alkalmas egymólós, kishajók és csónakok kikötésére alkalmas, bármilyen irányból megközelíthetõ kikötõ felé hajózik. Milyen kikötõi jelzés észlelhetõ jobbról (az X-el jelzett helyen) nappal?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös hengerrel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén zöld kúppal.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös-zöld vízszintes csíkozású gömbbel.",xxx-0499.jpg,3
760,"Kishajók (és csónakok) fogadására alkalmas egymólós, kishajók és csónakok kikötésére alkalmas, bármilyen irányból megközelíthetõ kikötõ felé hajózik. Milyen kikötõi jelzés észlelhetõ jobbról (az X-el jelzett helyen)?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös hengerrel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén zöld kúppal.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzõoszlop, felsõ részén vörös-zöld vízszintes csíkozású gömbbel.",xxx-0500.jpg,3
761,Minek a jelzésére alkalmazzák tavon az ábrán látható úszó jeleket?,Kikötõ bejáratához vezetõ csatorna kitûzésére a tó felõl nézve.,"Tiltott, hajózástól elzárt parti zóna bejárata a tó felõl nézve.","Meghatározott rendeltetésû területet (pl. vízi sportpályát, horgonyzóhelyet stb.) bejárata a tó felõl nézve.",xxx-0501.jpg,1
762,Hol alkalmazzák tavon éjszaka a balról vörös jobbról zöld villanó fénnyel ellátott úszó jeleket?,Kikötõ bejáratához vezetõ csatorna kitûzésére a tó felõl nézve.,"Tiltott, hajózástól elzárt parti zóna bejárata a tó felõl nézve.","Meghatározott rendeltetésû területet (pl. vízi sportpályát, horgonyzóhelyet stb.) bejárata a tó felõl nézve.",xxx-0504.jpg,1
763,Mit jelent a hajón látható csúcsával lefelé nézõ kék kúp? A hajó,egészségre ártalmas árut szállít.,robbanásveszélyes árut szállít.,gyúlékony árut szállít.,teszt-0795.jpg,3
764,Mit jelöl a hajón látható 2 db kék kúp?,A két kék kúp a radioaktív anyagot szállító hajó nappali megkülönböztetõ jelzése.,Többféle (folyékony és darab) árut szállító hajó megkülönböztetõ jelzése.,A két kék kúp az egészségre ártalmas árut szállító hajó nappali megkülönböztetõ jelzése.,teszt-0799.jpg,3
765,Mit jelöl a hajón látható három kék kúp? A három kék kúp,a radioaktív anyagot szállító hajó nappali megkülönböztetõ jelzése.,többféle (folyékony és darab) árut szállító hajó megkülönböztetõ jelzése.,a robbanásveszélyes árut szállító hajó nappali megkülönböztetõ jelzése.,teszt-0915.jpg,3
766,"Mire következtet, ha egy hajón 1 db fekete gömböt lát nappal?",Nyílt helyen veszteglõ magányos hajó.,A hajó mûveletképességében korlátozott.,A hajó vészjelzést ad.,,1
767,"Válassza ki, hogy az ábrán látható jelzõeszközök közül melyiket, mennyit és hogyan lehet elhelyezni egy mûveletképességében korlátozott hajón nappal? Függõleges vonalban","2 db 3 és 1 db 1 úgy, hogy a legfelsõ és a legalsó gömb, míg a középsõ henger.","2 db 4 és 1 db 3 úgy, hogy a legfelsõ és a legalsó kettõs kúp, míg a középsõ gömb.","2 db 3 és 1 db 4 úgy, hogy a legfelsõ és a legalsó gömb, míg a középsõ kettõs kúp.",teszt-1459.jpg,3
768,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható jelzéseket észleli? Hogyan hajózik el mellette? Menetben lévõ",manõverképességében korlátozott hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldalon lehetséges.,hullámzás elleni védelemre szoruló hajó. Az elhajózás mindkét oldalon lehetséges.,kormányképtelen hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldallal ellentétes oldalon lehetséges.,xxx-3680.jpg,2
769,Mit jelent a hajón látható zöld lobogó?,A menetrend szerinti forgalomban közlekedõ személyhajó kikötõ térségében más hajótól közlekedésének elõsegítését kéri.,"A személyhajó csak díszként viseli a zöld lobogót, annak nincs jelentése.","A zöld lobogóval elsõbbséget kér kikötéskor, más személyhajóktól.",xxx-2387.jpg,1
770,Állapítsa meg milyen menetben lévõ úszólétesítmény(ek) fényei láthatók az ábrán?,"110 méter hosszúságot, illetve 12 méter szélességet meghaladó egyoszlopos tolt kötelék bal oldalát mutatja.","Két egymás elé csatolt, 110 méter hosszúságot, illetve 12 méter szélességet meghaladó géphajó.","110 méter hosszúságot, illetve 12 méter szélességet meghaladó többoszlopos tolt kötelék bal oldalát mutatja.",xxx-3562.jpg,1
771,"Milyen fényeket kell viselnie a menetben, a 7 m hosszúságot elérõ kisgéphajónak az alábbiak közül?","Árbocfényt lehetõleg 1 m-rel az oldalfények felett, oldalfényeket, egy fehér farfényt.",Egy minden oldalról látható fehér fényt.,"Árbocfényt az oldalfények alatt, oldalfényeket, egy fehér farfényt.",xxx-3568.jpg,1
772,"Milyen fényeket kell viselnie a menetben, a 7 m hosszúságot elérõ kisgéphajónak az alábbiak közül?",Egy minden oldalról látható fehér fényt.,"Árbocfényt, lehetõleg 1 m-rel az oldalfények felett, oldalfényeket egymás mellett a hajó orrán vagy annak közelében, egy fehér farfényt.","Árbocfényt az oldalfények alatt, oldalfények, egy fehér farfényt.",xxx-3520.jpg,2
773,Milyen fényt vagy fényeket viselhet a 7 méternél rövidebb kisgéphajónak éjszaka menetben?,"Árbocfényt legalább 1 m-rel az oldalfények felett, oldalfényeket a hajó szélsõ pontjain.",Egy minden oldalról látható fehér fényt.,"Árbocfényt az oldalfények alatt, oldalfényeket a hajó szélsõ pontjain, egy fehér farfényt.",xxx-1005.jpg,2
774,Milyen fényeket viselhetnek éjszaka menetben a kizárólag kishajókból álló vontatott kötelék kishajói?,"Kisgéphajónak minden oldalról látható fehér fényt (az árbocfény helyén az árboc és farfény helyett) oldalfényeket, a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.","Kisgéphajónak árbocfényt, oldalfényeket és farfényt (amelyek összevonhatók az árbocfény felett), a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható sárga fényt.","Kisgéphajónak árbocfényt (lehetõleg 1 m-rel az oldalfények felett), oldalfényeket és egy sárga farfényt, a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.",xxx-3574.jpg,1
775,Milyen fényeket kell viselnie éjszaka menetben a kizárólag kishajókból álló mellévett alakzat kishajóinak?,A kisgéphajónak és a továbbított kishajónak vagy kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.,"Kisgéphajónak árbocfényt (lehetõleg 1 m-rel az oldalfények felett), oldalfényeket és egy sárga farfényt, a továbbított kishajónak vagy kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.","Kisgéphajónak árbocfényt (lehetõleg 1 m-rel az oldalfények felett), oldalfényeket és egy fehér farfényt, a továbbított kishajónak vagy a továbbított kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.",xxx-3575.jpg,3
